product,title,rating,body
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...","4.0 out of 5 stars
Best option if you're looking for a sunscream with no white cast and no high smell",4.0,"Writing this review after using one whole bottle that lasted over a month, I had to say it solved the problems that I had with my previous sunscreams 1) leaves no white cast or shimmer unlike the lakme and nivea one that I tried 2)has no such smell but the nivea one that I used had very strong irritable smell that last as long as the sunscreen does 3) doesn't feel oily or greasy on the skin, I tried to use the nivea one on my face and it turned out to be a bad idea but this derma co one really come up with the problem above, the only thing not so good about is its price other than that a great product 👍👍.
Read more"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...","5.0 out of 5 stars
Suitable for all types of skin",5.0,"The Derma co sunscreen is one stop sunscreen for all kinds of skin. After applying it there is whitishness on face for just 1-2 seconds and after that it disappears and feel so light on skin. Best thing is you do not feel sweaty after applying this sunscreen. Can be applied in any season. Highly recommended.
Read more"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...","5.0 out of 5 stars
Definitely repurchasing",5.0,"Quick absorbing, no white cast, and light weightLoved it!
Read more"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...","3.0 out of 5 stars
This product is not gel",3.0,"The product is pretty decent and light too, but it's not a gel based product. It's more has white cream structure light though but not gel. I was hoping for a gel based sunscreen that dries quickly without giving any sweat on face, but it does give sweats.
Read more"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...","4.0 out of 5 stars
Lightweight and Effective Daily Sunscreen",4.0,"I recently started using The Derma Co Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++, and it has quickly become my go-to for daily sun protection. One of the standout features of this sunscreen is its ultra-light gel formula. It feels incredibly light on the skin and absorbs quickly without leaving any sticky or greasy residue, making it perfect for everyday use, especially under makeup.The high SPF 50 PA++++ rating offers robust protection against both UVA and UVB rays, giving me peace of mind knowing my skin is shielded from harmful sun exposure. I also appreciate that it contains hyaluronic acid, which helps keep my skin hydrated throughout the day.I've used this sunscreen for a few weeks now, and it hasn't caused any breakouts or irritation, which is a big plus for my sensitive skin.Overall, I highly recommend The Derma Co Hyaluronic Sunscreen Aqua Ultra Light Gel for anyone looking for a reliable, lightweight, and effective sunscreen for daily use. It’s a great addition to any skincare routine.
Read more"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...","5.0 out of 5 stars
Perfect sunscreen",5.0,"I works like magic. All derma co. Products are good .
Read more"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...","5.0 out of 5 stars
Trustworthy for the Dry Skin",5.0,"The cream is not sticky as others. Best part is it's very gentle on skin and helped a lot to get rid of Taning. But I disliked that it's quantity is quite less as what I expected with the price.
Read more"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"5.0 out of 5 stars
This laptop bag is game-changing!",5.0,"This laptop bag is game-changing! My valuable technology feels invincible thanks to the padded containers. Pockets galore keep things tidy, from chargers to notebooks. It transitions smoothly from coffee shop to boardroom, looking stylish and sophisticated. Rain? Don't worry! The waterproof material provides peace of mind. Never imagined a bag could be both utilitarian and fashionable. Worth every penny!
Read more"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"4.0 out of 5 stars
Versatile and Reliable Companion for All Your Needs",4.0,"I recently purchased the Wesley Milestone 2.0 Casual Waterproof Laptop Backpack, and it has exceeded my expectations in terms of functionality, durability, and style. This backpack has quickly become my go-to companion for various occasions, whether it's for work, school, travel, or everyday use.One of the standout features of this backpack is its impressive storage capacity. With dimensions of 13x18 inches and a spacious 30L capacity, it easily accommodates my 15.6-inch laptop, books, notebooks, and other essentials without feeling bulky or overwhelming. The well-designed compartments and pockets help me keep my belongings organized and easily accessible. The laptop compartment is well-padded, providing excellent protection for my device.The waterproof feature of the backpack is a significant advantage, especially during unexpected weather conditions or accidental spills. It gives me peace of mind, knowing that my belongings are safe and protected from moisture.The build quality of the Wesley Milestone 2.0 backpack is outstanding. The materials used are durable and show no signs of wear even after months of daily use. The zippers are sturdy and glide smoothly, ensuring easy access to my belongings. The reinforced stitching adds to the overall durability and longevity of the backpack.Comfort is another aspect where this backpack shines. The ergonomic design, padded shoulder straps, and back panel provide excellent support and distribute the weight evenly, even when carrying heavy loads. The adjustable straps allow for a customized fit, reducing strain and fatigue during extended periods of wear.The stylish design of the backpack is an added bonus. The blue and black color combination is visually appealing and versatile, suitable for both casual and professional settings. The sleek and minimalistic look adds a touch of sophistication while maintaining a practical and functional design.Whether I'm commuting to the office, attending classes, or embarking on a weekend getaway, the Wesley Milestone 2.0 Casual Waterproof Laptop Backpack has proven to be a reliable and versatile companion. Its durability, ample storage, comfort, and stylish design make it a standout choice in the market.In conclusion, I highly recommend the Wesley Milestone 2.0 Casual Waterproof Laptop Backpack to anyone in need of a dependable and multi-functional bag. Its quality craftsmanship, spaciousness, and attractive design make it a worthwhile investment that will serve you well in various situations for years to come.
Read more"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"5.0 out of 5 stars
Good quality",5.0,"Quality is good, as per the price it's in Amazing quality and very decent design which everyone needs for a good lifestyle.Also compartment have enough space for storageComfortable and light designZippers are also soft for easily open and closeWeight is very much comfortable which I search from alot of time.
Read more"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"5.0 out of 5 stars
Good in quality.",5.0,"Long lasting quality. Comfortable.
Read more"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"4.0 out of 5 stars
Using it from 3 months and the bag looks great.",4.0,"Value for money product and sturdy bag.
Read more"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"3.0 out of 5 stars
Good product in good price - value for money",3.0,"I found that one strap cushion is broken at right shoulder side.
Read more"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"5.0 out of 5 stars
Great Quality Bag",5.0,"Perfect for everyday use. Highly recommended!
Read more"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"5.0 out of 5 stars
Durable and robust",5.0,"Very good quality
Read more"
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N...","5.0 out of 5 stars
Very good product",5.0,"Very good product, keeps the skin soft and supple
Read more"
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N...","4.0 out of 5 stars
Nice product",4.0,"Nice product
Read more"
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N...","5.0 out of 5 stars
Not suitable for oily skin",5.0,"Product is good but not for oily skin .. after applying the moisture it gives you very oily look..so its not suitable for oily skin..not easy absorbed in the skin
Read more"
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N...","5.0 out of 5 stars
For sensitive skin",5.0,"Moisture, softness,
Read more"
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N...","5.0 out of 5 stars
Excellent !!!",5.0,"Long lasting . Excellent for my dry skin .
Read more"
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N...","3.0 out of 5 stars
Cetaphil moisturizer",3.0,"Just got it today. Used once. Its not thick in consistency and is very light on skin.. Gets absorbed by skin and doesn't give sticky feeling. But it didn't last for 48 hrs as mentioned in the product..Doesn't have any fragrance.. It's  bit costly 100ml costs 549rs
Read more"
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N...","4.0 out of 5 stars
Good product",4.0,"Little expensive but value for money texture is smooth absorb quickly
Read more"
